subject,course_code,title,credits,prerequisites,gened,subcategories
AAS,100,Intro Asian American Studies ,3,,"SBS, CS","SS, US"
AAS,105,Introduction to Arab American Studies ,3,,CS,US
AAS,120,Intro to Asian Am Pop Culture ,3,,CS,US
AAS,199,Undergraduate Open Seminar ,1 to 5,,,
AAS,200,U.S. Race and Empire ,3,,"CS, HUM","HP, US"
AAS,201,US Racial & Ethnic Politics ,3,,"SBS, CS","SS, US"
AAS,211,Asian Americans and the Arts ,3,"AAS 100 or AAS 120, or consent of instructor","CS, HUM","LA, US"
AAS,215,US Citizenship Comparatively ,3,"One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100","CS, HUM","HP, US"
AAS,246,Asian American Youth in Film ,3,,"SBS, CS","SS, US"
AAS,258,Muslims in America ,3,,"SBS, CS","SS, US"
AAS,260,Intro Asian American Theatre ,3,,CS,US
AAS,275,The Politics of Fashion ,3,,CS,US
AAS,281,Constructing Race in America ,3,,"CS, HUM","HP, US"
AAS,282,Feminist and Queer Activisms ,3,,CS,US
AAS,283,Asian American History ,3,,"CS, HUM","HP, US"
AAS,286,Asian American Literature ,3,,"CS, HUM","LA, US"
AAS,287,Food and Asian Americans ,3,"AAS 100 or AAS 120, or consent of instructor","SBS, CS","SS, US"
AAS,288,Global Islam and Feminisms ,3,,CS,NW
AAS,290,Individual Study ,2 to 3,AAS 100,,
AAS,291,Hinduism in the United States ,3,,,
AAS,297,Asian Families in America ,3,,"SBS, CS","SS, US"
AAS,299,Begin Topics Asian Am Studies ,3,,,
AAS,300,"Theories of Race, Gender, and Sexuality ",3,,ACP,
AAS,310,Race and Cultural Diversity ,4,,"CS, ACP",US
AAS,315,"War, Memory, and Cinema ",3,"AAS 100 or AAS 120, or consent of the instructor",,
AAS,317,Asian American Politics ,3,,,
AAS,343,Criminalization and Punishment ,3,,,
AAS,346,Asian American Youth ,3,,,
AAS,355,Race and Mixed Race ,3,,,
AAS,357,Literatures of the Displaced ,3,,,
AAS,365,Asian American Media and Film ,3,"Any AAS course at the 100- or 200-level, or consent of instructor",,
AAS,370,"Immigration, Law, and Rights ",3,,ACP,
AAS,375,"Prisons, Race, and Terror ",3,,,
AAS,390,Intermed Topics Asian Am St ,3,,,
AAS,395,Adv Asian Am Undergrad Reading ,2 or 3,AAS 100,,
AAS,400,Critical Ethnic Studies ,3 or 4,,,
AAS,402,Asian American Education ,4,,"CS, ACP",US
AAS,435,Commodifying Difference ,3 or 4,,,
AAS,464,Theories & Theologies of Liberation ,3 or 4,,,
AAS,465,"Race, Sex, and Deviance ",3 or 4,,,
AAS,479,"Race, Medicine, and Society ",3 or 4,,,
AAS,490,Adv Topics in Asian Am Studies ,3 or 4,"AAS 100 or any Asian American Studies course, or consent of instructor",,
AAS,494,Writing with Performance: Politics of Love ,3,,,
AAS,495,Minoritarian Aesthetics Practicum ,3 or 4,,,
AAS,496,Experiments in Queer Performance ,3,,,
AAS,501,Theory and Methods in AAS ,4,,,
AAS,539,"Youth, Culture and Society ",4,,,
AAS,561,Race and Cultural Critique ,4,,,
AAS,589,Readings in Asian Am Studies ,1 to 4,Graduate standing or consent of instructor,,
AAS,590,Asian Am Studies Seminar ,2 to 4,Graduate standing or consent of instructor,,
AAS,594,Writing the Minor - Minoritarian Aesthetics ,4,,,
AAS,596,Experiments in Minoritarian Aesthetics ,4,,,
ABE,127,Introduction to Agricultural & Biological Engineering ,2,,,
ABE,128,Applied Biology for Agricultural and Biological Engineers ,3,,,
ABE,152,Water in the Global Environment ,3,,"CS, NAT","PS, NW"
ABE,199,Undergraduate Open Seminar ,1 to 5,,,
