CourseID,PrerequisiteID
AAS211,AAS100
AAS211,AAS120
AAS215,AAS100
AAS215,AAS120
AAS215,AFRO100
AAS215,AIS101
AAS215,GWS250
AAS215,LLS100
AAS287,AAS100
AAS287,AAS120
AAS290,AAS100
AAS315,AAS100
AAS315,AAS120
AAS395,AAS100
AAS490,AAS100
ABE227,MATH220
ABE227,MATH221
ABE227,MATH234
ABE228,MATH220
ABE228,MATH221
ABE228,MATH234
ABE340,MATH241
ABE341,ABE227
ABE341,ABE228
ABE361,TAM212
ABE425,ECE205
ABE426,MATH221
ABE426,MATH225
ABE426,MATH285
ABE426,IE300
ABE426,STAT400
ABE426,CS125
ABE436,PHYS211
ABE446,MCB150
ABE451,ABE450
ABE454,TAM335
ABE454,NRES201
ABE455,CEE350
ABE455,NRES401
ABE455,CEE380
ABE455,NRES201
ABE456,TAM335
ABE457,CEE350
ABE458,ABE457
ABE459,TAM335
ABE466,ABE340
ABE466,ME200
ABE476,PHYS213
ABE476,MATH285
ABE476,TAM335
ABE488,ABE340
ABE488,ME200
ABE488,CHBE321
ABE526,MATH225
ABE526,MATH416
ABE526,STAT400
ABE526,MATH461
ACCY201,ACCY201
ACCY201,ECON102
ACCY201,ECON103
ACCY202,ACCY201
ACCY290,ACCY201
ACCY290,ACCY202
ACCY301,ACCY302
ACCY302,ACCY202
ACCY302,ACCY301
ACCY303,ACCY301
ACCY303,FIN221
ACCY304,ACCY301
ACCY304,ACCY302
ACCY312,ACCY202
ACCY405,ACCY304
ACCY410,ACCY303
ACCY415,ACCY304
ACCY419,ACCY301
ACCY419,ACCY501
ACCY451,ACCY312
ACCY502,ACCY501
ACCY503,ACCY501
ACCY504,ACCY502
ACCY506,ACCY502
ACCY507,ACCY505
ACCY510,ACCY410
ACCY511,ACCY410
ACCY511,FIN300
ACCY515,ACCY405
ACCY517,ACCY500
ACCY517,ACCY502
ACCY519,ACCY501
ACCY531,ACCY500
ACCY550,ACCY451
ACCY551,ACCY556
ACCY552,ACCY556
ACCY553,ACCY451
ACCY554,ACCY451
ACCY556,ACCY451
ACCY561,ACCY557
ACCY575,ACCY570
ACCY577,ACCY576
ACCY578,ACCY576
ACCY585,MATH463
ACCY585,ECON502
ACCY594,ACCY592
ACE241,ACE240
ACE243,ACE240
ACE251,ACE100
ACE251,ECON102
ACE264,ACE262
ACE270,ACE100
ACE270,ECON102
ACE300,ACE100
ACE300,ECON102
ACE300,MATH220
ACE300,MATH221
ACE300,MATH234
ACE310,ACE100
ACE310,ECON102
ACE344,ACE240
ACE345,ACCY201
ACE349,ACE240
ACE360,ACE161
ACE360,CS105
ACE410,ACE300
ACE411,ACE300
ACE411,ECON302
ACE417,ACE100
ACE427,ACE100
ACE427,ECON102
ACE427,ACE262
ACE428,ACE222
ACE428,FIN300
ACE430,ACE100
ACE430,ECON102
ACE431,ACE231
ACE431,BADM320
ACE431,ACE222
ACE432,ACE232
ACE435,ACE262
ACE440,ACE345
ACE441,ACE240
ACE441,ACE349
ACE441,FIN230
ACE441,ACE444
ACE441,ACE449
ACE444,ACE345
ACE444,FIN221
ACE445,ACE240
ACE445,ACE300
ACE445,ECON302
ACE446,ACE240
ACE446,ACE345
ACE446,FIN221
ACE446,ACE360
ACE449,ACE240
ACE449,ACE345
ACE451,ACE300
ACE451,ECON302
ACE455,ACE300
ACE455,ECON302
ACE456,ACE300
ACE456,ECON302
ACE471,ACE100
ACE474,ACE270
ACE474,ACE300
ACE474,ECON302
ACE476,ACE300
ACE476,ECON302
ACE501,ECON500
ACE502,ECON500
ACE502,ACE501
ACE503,ECON500
ACE504,MATH220
ACE504,MATH221
ACE504,MATH231
ACE504,MATH415
ACE505,ECON502
ACE510,ECON302
ACE520,ACE562
ACE520,ACE563
ACE520,ECON500
ACE527,ACE562
ACE527,ECON500
ACE528,ECON500
ACE531,ACE500
ACE531,ECON500
ACE532,ACE562
ACE532,ACE564
ACE532,ECON535
ACE542,ECON500
ACE557,ACE500
ACE557,ACE501
ACE557,ECON500
ACE562,ACE262
ACE562,MATH220
ACE562,MATH221
ACE562,MATH234
ACE563,MATH124
ACE563,MATH220
ACE563,MATH221
ACE563,MATH234
ACE564,ACE562
ACE569,ACE561
ACE571,ECON500
ADV222,ADV150
ADV281,STAT100
ADV281,ADV200
ADV333,ADV250
ADV333,ADV284
ADV350,ADV310
ADV360,ADV250
ADV360,ADV284
ADV378,ADV281
ADV396,ADV150
ADV396,ADV281
ADV410,ADV310
ADV452,ADV390
ADV454,ADV452
ADV476,ADV150
ADV478,ADV281
ADV483,ADV250
ADV483,ADV284
ADV484,ADV281
ADV492,CS225
ADV494,ADV281
ADV497,ADV281
ADV498,ADV250
ADV498,ADV360
ADV498,ADV390
ADV588,ADV587
ADV598,ADV588
ADV599,ADV588
AE202,TAM212
AE302,AE352
AE311,AE202
AE312,AE202
AE312,MATH285
AE321,MATH285
AE321,TAM210
AE321,TAM211
AE323,AE321
AE323,MATH241
AE323,MATH285
AE323,TAM210
AE323,TAM211
AE352,MATH225
AE352,MATH257
AE352,MATH415
AE352,MATH285
AE352,MATH284
AE352,MATH441
AE352,TAM212
AE353,MATH225
AE353,MATH257
AE353,MATH415
AE353,MATH285
AE353,TAM212
AE370,AE311
AE370,AE321
AE402,AE202
AE403,AE352
AE403,AE353
AE410,AE311
AE410,AE312
AE412,AE311
AE412,ME310
AE412,TAM335
AE416,AE311
AE419,AE202
AE419,AE353
AE433,AE312
AE433,PHYS212
AE434,AE312
AE435,AE312
AE435,ME410
AE435,PHYS212
AE435,ECE205
AE442,AE311
AE443,AE442
AE451,AE352
AE451,TAM412
AE451,TAM251
AE454,AE353
AE460,AE311
AE460,AE433
AE461,AE321
AE461,AE352
AE480,AE312
AE483,AE202
AE483,AE352
AE483,AE353
AE483,AE370
AE483,PHYS212
AE484,AE202
AE484,AE311
AE485,AE311
AE485,AE312
AE485,ME200
AE502,AE402
AE504,AE352
AE508,AE504
AE511,ME410
AE512,AE311
AE512,AE312
AE512,ME200
AE514,AE412
AE515,AE416
AE522,TAM451
AE522,TAM551
AE523,TAM451
AE523,TAM551
AE525,TAM428
AE526,TAM428
AE527,TAM451
AE527,AE420
AE527,CSE401
AE528,AE321
AE528,TAM451
AE529,AE321
AE529,TAM451
AE542,AE442
AE542,AE443
AE542,ME470
AE542,ECE445
AE542,ECE411
AE542,CS492
AE542,CS493
AE542,CEE465
AE543,AE542
AE550,AE451
AE554,TAM416
AE554,ME340
AE554,TAM412
AE554,AE352
AE555,ECE515
AE556,ECE515
AE556,MATH446
AE560,TAM451
AE560,TAM551
AFAS111,AFAS102
AFAS112,AFAS111
AFAS221,AFAS112
AFAS222,AFAS221
AFAS331,AFAS222
AFAS332,AFAS331
AFAS341,AFAS332
AFAS342,AFAS341
AFRO220,AFRO100
AFRO224,AFRO100
AFRO290,AFRO101
AFRO290,HIST276
AFRO290,HIST172
AFRO290,PS201
AFRO298,AFRO100
AFRO298,AFRO101
AFRO372,AFRO101
AFRO372,HIST276
AFRO372,SOC225
AFRO373,AFRO100
AFRO373,AFRO101
AFRO373,AFRO261
AFRO373,ENGL260
AFRO373,HIST276
AFRO383,AFRO100
AFRO383,AFRO101
AFRO383,AFRO103
AFRO398,AFRO224
AFRO398,HIST275
AFRO398,HIST276
AFRO398,ENGL259
AFRO398,ENGL260
AFRO400,AFRO261
AFRO410,PSYC201
AFRO411,AFRO100
AFRO415,AFRO103
AFRO460,AFRO100
AFRO460,AFRO101
AFRO466,AFRO100
AFRO466,AFRO101
AFRO474,AFRO101
AFRO474,HIST276
AFRO490,AFRO100
AFRO495,AFRO100
AFRO495,AFRO220
AFRO495,AFRO490
AFRO597,AFRO500
AFRO598,AFRO500
AFST410,AFST210
AFST410,AFST222
AGCM380,AGCM220
AGED250,AGED220
AGED350,AGED250
AGED420,AGED220
AGED421,AGED420
AGED430,AGED220
AGED430,HDFS105
AGED430,PSYC100
AGED450,AGED420
AIS502,AIS501
AIS503,AIS501
AIS503,AIS502
ALEC393,ALEC110
ALEC491,ALEC490
ALEC492,ALEC490
ALEC545,ALEC505
ALEC595,ALEC545
ANSC103,ANSC100
ANSC201,ANSC100
ANSC204,ANSC100
ANSC223,ANSC100
ANSC223,ANSC221
ANSC223,CHEM104
ANSC223,CHEM105
ANSC224,ANSC100
ANSC224,ANSC221
ANSC301,ANSC223
ANSC306,ANSC224
ANSC307,ANSC221
ANSC307,ANSC222
ANSC307,ANSC223
ANSC307,ANSC224
ANSC310,ANSC215
ANSC312,ANSC211
ANSC314,ANSC204
ANSC314,ANSC215
ANSC322,ANSC223
ANSC350,CHEM104
ANSC350,CHEM105
ANSC350,ANSC221
ANSC363,ANSC100
ANSC370,ANSC250
ANSC400,ANSC201
ANSC401,ANSC223
ANSC402,ANSC223
ANSC403,ANSC223
ANSC403,ANSC224
ANSC403,ANSC431
ANSC406,ANSC221
ANSC406,IB104
ANSC407,ANSC207
ANSC407,ANSC307
ANSC409,ANSC221
ANSC409,IB100
ANSC409,CHEM102
ANSC420,ANSC223
ANSC421,MCB450
ANSC422,ANSC223
ANSC424,ANSC223
ANSC424,ANSC322
ANSC424,ANSC422
ANSC431,ANSC224
ANSC435,ANSC221
ANSC438,ANSC224
ANSC445,CPSC440
ANSC446,ANSC221
ANSC446,IB204
ANSC446,MATH220
ANSC446,MATH221
ANSC446,MATH234
ANSC451,MCB100
ANSC451,ANSC350
ANSC451,MCB300
ANSC451,MCB424
ANSC452,ANSC221
ANSC452,ANSC222
ANSC452,ANSC223
ANSC452,ANSC224
ANSC454,ANSC221
ANSC454,ANSC222
ANSC454,ANSC450
ANSC464,ANSC221
ANSC464,ANSC222
ANSC467,ANSC221
ANSC467,ANSC222
ANSC467,ANSC223
ANSC470,ANSC250
ANSC480,MATH112
ANSC498,ANSC298
ANSC509,ANSC452
ANSC509,ANSC409
ANSC509,ANSC350
ANSC509,MCB450
ANSC520,MCB450
ANSC520,ANSC222
ANSC522,ANSC420
ANSC522,ANSC350
ANSC522,MCB450
ANSC526,ANSC422
ANSC580,ANSC480
ANTH243,ANTH102
ANTH243,ANTH143
ANTH247,ANTH246
ANTH343,ANTH143
ANTH346,ANTH246
ANTH347,ANTH240
ANTH352,ANTH104
ANTH352,ANTH270
ANTH353,ANTH104
ANTH353,ANTH270
ANTH358,ANTH102
ANTH372,ANTH104
ANTH372,ANTH270
ANTH379,ANTH230
ANTH402,ANTH230
ANTH405,ANTH103
ANTH405,ANTH182
ANTH405,ANTH230
ANTH408,ANTH443
ANTH408,ANTH440
ANTH408,ANTH456
ANTH421,ANTH230
ANTH423,ANTH230
ANTH435,ANTH240
ANTH437,IB150
ANTH437,ANTH143
ANTH438,ANTH102
ANTH438,ANTH143
ANTH438,ANTH240
ANTH438,ANTH243
ANTH440,ANTH240
ANTH441,ANTH102
ANTH443,ANTH240
ANTH444,ANTH240
ANTH445,ANTH240
ANTH447,ANTH347
ANTH448,ANTH220
ANTH449,ANTH220
ANTH450,ANTH220
ANTH451,ANTH220
ANTH452,ANTH220
ANTH453,ANTH220
ANTH455,ANTH102
ANTH460,ANTH220
ANTH461,ANTH220
ANTH466,ANTH103
ANTH466,ANTH230
ANTH467,ANTH230
ANTH468,ANTH240
ANTH468,ANTH243
ANTH468,ANTH443
ANTH471,ANTH230
ANTH471,ANTH270
ANTH472,ANTH103
ANTH472,ANTH259
ANTH477,ANTH220
ANTH481,ANTH182
ANTH481,ANTH230
ANTH488,ANTH103
ANTH488,ANTH230
ANTH496,ANTH230
ANTH497,ANTH230
ANTH540,ANTH440
ANTH540,ANTH441
ANTH540,ANTH443
ANTH561,ANTH461
ARAB202,ARAB201
ARAB211,ARAB210
ARAB403,ARAB202
ARAB404,ARAB403
ARAB405,ARAB404
ARAB406,ARAB405
ARAB407,ARAB406
ARAB408,ARAB407
ARAB409,ARAB408
ARAB410,ARAB409
ARAB412,ARAB405
ARAB490,ARAB410
ARCH172,ARCH171
ARCH232,MATH220
ARCH232,MATH221
ARCH232,MATH231
ARCH232,PHYS101
ARCH273,ARCH172
ARCH274,ARCH273
ARCH371,ARCH274
ARCH372,ARCH371
ARCH402,ARCH210
ARCH403,ARCH210
ARCH409,ARCH210
ARCH410,ARCH210
ARCH410,ARTH111
ARCH410,CLCV131
ARCH411,ARCH210
ARCH411,ARTH111
ARCH411,CLCV131
ARCH411,CLCV132
ARCH412,ARCH210
ARCH412,ARTH111
ARCH414,ARCH210
ARCH414,ARTH112
ARCH415,ARCH210
ARCH415,ARTH112
ARCH416,ARCH210
ARCH416,ARTH112
ARCH417,ARCH210
ARCH417,ARTH112
ARCH418,ARCH210
ARCH433,ARCH232
