CourseID,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students
AAS100,905,2122,762,466,495,215,114,128,48,26,28,20,112,17,5441
AAS105,23,20,3,3,4,1,0,1,0,0,1,0,1,0,57
AAS120,30,148,116,90,84,46,29,26,10,4,9,1,2,4,595
AAS200,35,97,46,25,15,12,2,2,2,1,3,1,6,0,247
AAS211,3,20,12,2,4,3,2,1,0,3,0,0,2,0,52
AAS215,59,94,44,33,17,16,6,8,5,5,3,2,5,1,297
AAS246,41,198,32,12,22,5,3,3,3,0,0,0,1,2,320
AAS258,11,98,43,7,0,3,1,0,2,0,1,1,1,1,168
AAS287,38,131,8,15,7,4,3,0,0,0,0,0,3,1,209
AAS315,0,7,6,5,4,5,1,0,0,0,0,0,0,0,28
AAS365,7,19,6,4,6,1,6,3,3,0,0,1,2,0,58
AAS370,0,3,4,6,7,4,2,1,1,1,0,0,0,0,29
ABE100,0,372,3,7,98,0,2,14,0,1,8,0,7,0,512
ABE127,12,62,7,3,0,0,1,1,0,0,0,0,0,0,86
ABE141,25,107,83,61,39,17,9,9,5,3,5,0,7,1,370
ABE152,307,207,3,11,18,2,4,4,0,1,3,0,14,2,574
ABE199,12,55,0,2,1,0,0,0,0,0,0,0,0,0,70
ABE221,0,33,0,14,13,0,2,1,0,0,0,0,0,0,63
ABE222,0,10,3,9,11,2,1,3,1,4,0,0,2,0,46
ABE223,15,266,50,29,69,15,12,20,2,3,6,4,0,1,491
ABE224,72,304,39,62,46,1,7,14,4,1,6,0,9,4,565
ABE225,18,86,46,70,106,20,9,15,5,1,6,1,9,2,392
ABE226,44,76,79,56,51,31,16,14,9,2,2,3,10,1,393
ABE232,62,87,27,17,7,5,5,3,2,0,2,1,2,4,220
ABE341,2,22,15,11,21,14,7,6,3,2,3,0,0,0,106
ABE361,2,14,11,4,3,4,1,4,0,0,0,1,3,0,47
ABE425,37,246,20,41,37,6,6,6,0,0,0,0,1,0,400
ABE430,31,921,91,118,211,38,14,35,6,2,1,0,5,2,1473
ABE436,46,122,98,132,110,38,25,18,4,0,5,0,3,1,601
ABE446,1,6,12,2,0,1,0,0,0,0,0,0,0,0,22
ABE456,0,35,1,2,4,0,0,1,0,0,0,0,0,0,43
ABE457,4,42,11,5,6,1,1,1,1,0,0,0,0,0,72
ABE466,12,58,78,49,35,22,14,10,3,0,3,0,3,0,287
