Name,Course,Rating,Difficulty,Would-Take-Again,Link
"Chuang, Jer-Chin",MATH257,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",MATH416,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",MATH415,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",MATH417,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",ASRM406,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",MATH241,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",MATH285,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Chuang, Jer-Chin",MATH286,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Newcomb, Lori",ENGL418,3.6,2.5,54.5455,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84957
"Newcomb, Lori",ENGL218,3.6,2.5,54.5455,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84957
"Newcomb, Lori",ENGL300,3.6,2.5,54.5455,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84957
"Kani, Nickvash",ECE374,4.5,3.5,92.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596546
"Kani, Nickvash",CS374,4.5,3.5,92.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596546
"Kani, Nickvash",ECE342,4.5,3.5,92.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596546
"Smith, Cassandra",ARTH299,4.4,3.7,81.8182,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2943492
"Smith, Cassandra",ARTH361,4.4,3.7,81.8182,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2943492
"Bojanowski, Jochen",PHIL104,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Bojanowski, Jochen",PHIL435,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Bojanowski, Jochen",PHIL421,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Bojanowski, Jochen",PHIL105,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Bojanowski, Jochen",PHIL107,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Bojanowski, Jochen",PHIL210,2.8,3.4,50.0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
