RequirementID,MajorID,Credits,CourseID
1,Accountancy,3,ACCY201
2,Accountancy,3,ACCY202
3,Accountancy,3,BUS101
4,Accountancy,3,BUS201
5,Accountancy,3,BUS301
6,Accountancy,3,BUS401
7,Accountancy,3,BADM210
8,Accountancy,3,BADM211
9,Accountancy,3,BADM275
10,Accountancy,3,BADM300
11,Accountancy,3,BADM310
12,Accountancy,3,BADM320
13,Accountancy,3,BADM449
14,Accountancy,3,CMN101
15,Accountancy,3,CS105
16,Accountancy,3,ECON102
17,Accountancy,3,ECON103
18,Accountancy,3,FIN221
19,Accountancy,3,MATH115
20,Accountancy,3,MATH220
21,Accountancy,3,MATH221
22,Accountancy,3,MATH231
23,Accountancy,3,MATH234
24,Accountancy,3,STAT100
25,Accountancy,3,ACCY301
26,Accountancy,3,ACCY302
27,Accountancy,3,ACCY303
28,Accountancy,3,ACCY304
29,Accountancy,3,ACCY312
30,Accountancy,3,ACCY405
31,Accountancy,3,ACCY410
32,Accountancy,3,ACCY451
33,Accountancy + Data Science,3,ACCY201
34,Accountancy + Data Science,3,ACCY202
35,Accountancy + Data Science,3,BADM275
36,Accountancy + Data Science,3,BADM300
37,Accountancy + Data Science,3,BADM310
38,Accountancy + Data Science,3,BADM320
39,Accountancy + Data Science,3,BADM449
40,Accountancy + Data Science,3,BUS101
41,Accountancy + Data Science,3,BUS201
42,Accountancy + Data Science,3,BUS401
43,Accountancy + Data Science,3,CMN101
44,Accountancy + Data Science,3,ECON102
45,Accountancy + Data Science,3,ECON103
46,Accountancy + Data Science,3,FIN221
47,Accountancy + Data Science,3,ACCY301
48,Accountancy + Data Science,3,ACCY302
49,Accountancy + Data Science,3,ACCY303
50,Accountancy + Data Science,3,ACCY304
51,Accountancy + Data Science,3,ACCY312
52,Accountancy + Data Science,3,ACCY405
53,Accountancy + Data Science,3,ACCY410
54,Accountancy + Data Science,3,MATH220
55,Accountancy + Data Science,3,MATH221
56,Accountancy + Data Science,3,MATH234
57,Accountancy + Data Science,3,MATH227
58,Accountancy + Data Science,3,MATH257
59,Accountancy + Data Science,4,STAT107
60,Accountancy + Data Science,4,STAT207
61,Accountancy + Data Science,4,CS307
62,Accountancy + Data Science,4,CS277
63,Accountancy + Data Science,3,IS467
64,Accountancy + Data Science,3,IS477
65,Advertising,3,ADV250
66,Advertising,3,ADV281
67,Advertising,3,ADV284
68,Advertising,3,ADV360
69,Advertising,3,ADV390
70,Advertising,3,ADV492
71,Advertising,3,ADV498
72,Advertising,3,BADM320
73,Advertising,3,ECON102
74,Advertising,3,ECON103
