Name,Dept.,Rating,Difficulty,Would-Take-Again,Link
"Chuang, Jer-Chin",MATH,2.3,4.2,29.6875,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2438202
"Newcomb, Lori",ENGL,3.6,2.5,54.5455,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84957
"Kani, Nickvash",Electrical & Computer Engineering,4.5,3.5,92.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2596546
"Newcomb, Tim",ENGL,2.9,2.8,33.3333,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124011
"Smith, Cassandra",Art History,4.4,3.7,81.8182,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2943492
"Bojanowski, Jochen",PHIL,2.8,3.4,50,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2857830
"Zhang, Tong",Computer Engineering,1,3.9,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3077645
"Loberg, Ceanna",PSYC,2,1,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3105350
"Gunasekera, Mutha",CHEM,2.8,4.2,43.4066,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2275634
"Bronski, Jared",MATH,4.5,2.8,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=936282
"Tolman, Susan",MATH,2.4,3.7,28.5714,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577900
"Kourtikakis, Konstantinos",PS,4.8,2.2,94.5946,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1530312
"Kalsotra, Auinash",BIOC,4.5,3.6,85.7143,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2157991
"Price, Julie",ENGL,4.9,2,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=355680
"Lariviere, David",IE,4.2,2.5,78.2609,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2912372
"Stevens, Andrea",ENGL,4.9,2,100,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1197849
"Schuh, Jonathon",Electrical & Computer Engineering,3.9,2.5,80,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2757322
"Hale, Jon",EDUC,4.2,2.9,92.3077,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094188
"Tynes, Brendesha",EDUC,3.4,3.1,75,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=839078
"Peecher, Mark",Accounting,2.9,3.6,42.8571,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1091990
