course_number,course_title,credit_hours,major
ACCY 201& ACCY 202,Accounting and Accountancy Iand Accounting and Accountancy II,6,"Accountancy, BS"
BUS 101,Professional Responsibility and Business,3,"Accountancy, BS"
BUS 201,Business Dynamics,3,"Accountancy, BS"
BUS 301,Business in Action,3,"Accountancy, BS"
BUS 401,Crafting Your Purpose in Business,3,"Accountancy, BS"
BADM 210& BADM 211,Business Analytics Iand Business Analytics II,6,"Accountancy, BS"
BADM 275,Fundamentals of Operations Management,3,"Accountancy, BS"
BADM 300,The Legal Environment of Bus,3,"Accountancy, BS"
BADM 310,Mgmt and Organizational Beh,3,"Accountancy, BS"
BADM 320,Principles of Marketing,3,"Accountancy, BS"
BADM 449,Business Policy and Strategy,3,"Accountancy, BS"
CMN 101,Public Speaking,3,"Accountancy, BS"
CS 105,Intro Computing: Non-Tech,3,"Accountancy, BS"
ECON 102& ECON 103,Microeconomic Principlesand Macroeconomic Principles,6,"Accountancy, BS"
FIN 221,Corporate Finance,3,"Accountancy, BS"
MATH 115,Preparation for Calculus,,"Accountancy, BS"
MATH 220,Calculus,,"Accountancy, BS"
MATH 221,Calculus I,,"Accountancy, BS"
MATH 231,Calculus II,,"Accountancy, BS"
MATH 234,Calculus for Business I,,"Accountancy, BS"
STAT 100,Statistics,,"Accountancy, BS"
ACCY 301,Atg Measurement & Disclosure,3,"Accountancy, BS"
ACCY 302,Decision Making for Atg,3,"Accountancy, BS"
ACCY 303,Accounting Institutions and Regulation,3,"Accountancy, BS"
ACCY 304,Accounting Control Systems,3,"Accountancy, BS"
ACCY 312,Principles of Taxation,3,"Accountancy, BS"
ACCY 405,Assurance and Attestation,3,"Accountancy, BS"
ACCY 410,Advanced Financial Reporting,,"Accountancy, BS"
ACCY 451,Advanced Income Tax Problems,,"Accountancy, BS"
ACCY 201,Accounting and Accountancy I,3,"Accountancy + Data Science, BS"
ACCY 202,Accounting and Accountancy II,3,"Accountancy + Data Science, BS"
BADM 275,Fundamentals of Operations Management,3,"Accountancy + Data Science, BS"
BADM 300,The Legal Environment of Bus,3,"Accountancy + Data Science, BS"
BADM 310,Mgmt and Organizational Beh (This course includes limited voluntary participation as a subject in experiments),3,"Accountancy + Data Science, BS"
BADM 320,Principles of Marketing,3,"Accountancy + Data Science, BS"
BADM 449,Business Policy and Strategy,3,"Accountancy + Data Science, BS"
BUS 101,Professional Responsibility and Business,3,"Accountancy + Data Science, BS"
BUS 201,Business Dynamics,3,"Accountancy + Data Science, BS"
BUS 401,Crafting Your Purpose in Business,3,"Accountancy + Data Science, BS"
CMN 101,Public Speaking,3,"Accountancy + Data Science, BS"
ECON 102,Microeconomic Principles,3,"Accountancy + Data Science, BS"
ECON 103,Macroeconomic Principles,3,"Accountancy + Data Science, BS"
FIN 221,Corporate Finance,3,"Accountancy + Data Science, BS"
ACCY 301,Atg Measurement & Disclosure,3,"Accountancy + Data Science, BS"
ACCY 302,Decision Making for Atg,3,"Accountancy + Data Science, BS"
ACCY 303,Accounting Institutions and Regulation,3,"Accountancy + Data Science, BS"
ACCY 304,Accounting Control Systems,3,"Accountancy + Data Science, BS"
ACCY 312,Principles of Taxation,3,"Accountancy + Data Science, BS"
